RptDt;TckrSymb;Asst;AsstDesc;SgmtNm;MktNm;SctyCtgyNm;XprtnDt;XprtnCd;TradgStartDt;TradgEndDt;BaseCd;ConvsCritNm;MtrtyDtTrgtPt;ReqrdConvsInd;ISIN;CFICd;DlvryNtceStartDt;DlvryNtceEndDt;OptnTp;CtrctMltplr;AsstQtnQty;AllcnRndLot;TradgCcy;DlvryTpNm;WdrwlDays;WrkgDays;ClnrDays;RlvrBasePricNm;OpngFutrPosDay;SdTpCd1;UndrlygTckrSymb1;SdTpCd2;UndrlygTckrSymb2;PureGoldWght;ExrcPric;OptnStyle;ValTpNm;PrmUpfrntInd;OpngPosLmtDt;DstrbtnId;PricFctr;DaysToSttlm;SrsTpNm;PrtcnFlg;AutomtcExrcInd;SpcfctnCd;CrpnNm;CorpActnStartDt;CtdyTrtmntTpNm;MktCptlstn;CorpGovnLvlNm
2022-06-21;2WAV3;2WAV;2WAV;CASH;EQUITY-CASH;SHARES;;;9999-12-31;9999-12-31;;;;;BR2WAVACNOR8;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;ON;2W ENERGIA S.A.;9999-12-31;FUNGIBLE;1;
2022-06-21;AALR3;AALR;AALR;CASH;EQUITY-CASH;SHARES;;;2020-04-28;9999-12-31;;;;;BRAALRACNOR6;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;102;1;2;;;;ON      NM;CENTRO DE IMAGEM DIAGNOSTICOS S.A.;9999-12-31;FUNGIBLE;118292816;NOVO MERCADO
2022-06-21;ABCB4;ABCB;ABCB;CASH;EQUITY-CASH;SHARES;;;2022-04-01;9999-12-31;;;;;BRABCBACNPR4;EPNNPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;140;1;2;;;;PN      N2;BCO ABC BRASIL S.A.           ;9999-12-31;FUNGIBLE;112644643;NIVEL 2
2022-06-21;ABEV3;ABEV;ABEV;CASH;EQUITY-CASH;SHARES;;;2021-12-20;9999-12-31;;;;;BRABEVACNOR1;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;125;1;2;;;;ON        ;AMBEV S.A.                    ;9999-12-31;FUNGIBLE;15750216851;
2022-06-21;AERI3;AERI;AERI;CASH;EQUITY-CASH;SHARES;;;2022-03-28;9999-12-31;;;;;BRAERIACNOR4;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;101;1;2;;;;ON      NM;AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A;9999-12-31;FUNGIBLE;766213456;NOVO MERCADO
2022-06-21;AESB3;AESB;AESB;CASH;EQUITY-CASH;SHARES;;;2021-08-10;9999-12-31;;;;;BRAESBACNOR7;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;102;1;2;;;;ON      NM;AES BRASIL ENERGIA S.A.       ;9999-12-31;FUNGIBLE;492106495;NOVO MERCADO
2022-06-21;AESO3;AESO;AESO;CASH;EQUITY-CASH;SHARES;;;2021-12-03;9999-12-31;;;;;BRAESOACNOR0;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;ON;AES BRASIL OPERA��ES S.A.;9999-12-31;FUNGIBLE;1995532616;
2022-06-21;AFLT3;AFLT;AFLT;CASH;EQUITY-CASH;SHARES;;;2022-04-19;9999-12-31;;;;;BRAFLTACNOR1;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;119;1;2;;;;ON        ;AFLUENTE TRANSMISS�O DE ENERGIA EL�TRICA S/A;9999-12-31;FUNGIBLE;63084700;
2022-06-21;AGBK4;AGBK;AGBK;CASH;EQUITY-CASH;SHARES;;;9999-12-31;9999-12-31;;;;;BRAGBKACNPR6;EPNNPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;PN;BANCO AGIBANK S.A.;9999-12-31;FUNGIBLE;92714612;
2022-06-21;AGRA4;AGRA;AGRA;CASH;EQUITY-CASH;SHARES;;;9999-12-31;9999-12-31;;;;;BRAGRAACNPR3;EPNEFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;112;1000;2;;;;PN *EG;AGRALE S/A;9999-12-31;FUNGIBLE;262916100;
2022-06-21;AGRO3;AGRO;AGRO;CASH;EQUITY-CASH;SHARES;;;2022-04-08;9999-12-31;;;;;BRAGROACNOR7;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;112;1;2;;;;ON      NM;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;9999-12-31;FUNGIBLE;102377008;NOVO MERCADO
2022-06-21;AGXY3;AGXY;AGXY;CASH;EQUITY-CASH;SHARES;;;2022-05-02;9999-12-31;;;;;BRAGXYACNOR4;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;101;1;2;;;;ON      NM;AGROGALAXY PARTICIPA��ES S.A. ;9999-12-31;FUNGIBLE;170824989;NOVO MERCADO
2022-06-21;AHEB3;AHEB;AHEB;CASH;EQUITY-CASH;SHARES;;;2020-02-18;9999-12-31;;;;;BRAHEBACNOR0;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;106;1;2;;;;ON        ;SAO PAULO TURISMO S.A.        ;9999-12-31;FUNGIBLE;8407877;
2022-06-21;AHEB5;AHEB;AHEB;CASH;EQUITY-CASH;SHARES;;;2020-02-18;9999-12-31;;;;;BRAHEBACNPA3;EPNNPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;106;1;2;;;;PNA       ;SAO PAULO TURISMO S.A.        ;9999-12-31;FUNGIBLE;136017;
2022-06-21;AHEB6;AHEB;AHEB;CASH;EQUITY-CASH;SHARES;;;2020-02-18;9999-12-31;;;;;BRAHEBACNPB1;EPNNPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;106;1;2;;;;PNB       ;SAO PAULO TURISMO S.A.        ;9999-12-31;FUNGIBLE;136017;
2022-06-21;ALLD3;ALLD;ALLD;CASH;EQUITY-CASH;SHARES;;;2022-05-02;9999-12-31;;;;;BRALLDACNOR3;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;103;1;2;;;;ON      NM;ALLIED TECNOLOGIA S.A.        ;9999-12-31;FUNGIBLE;93220582;NOVO MERCADO
2022-06-21;ALPA3;ALPA;ALPA;CASH;EQUITY-CASH;SHARES;;;2022-01-03;9999-12-31;;;;;BRALPAACNOR0;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;231;1;2;;;;ON      N1;ALPARGATAS S.A.               ;9999-12-31;FUNGIBLE;339510689;NIVEL 1
2022-06-21;ALPA4;ALPA;ALPA;CASH;EQUITY-CASH;SHARES;;;2022-01-03;9999-12-31;;;;;BRALPAACNPR7;EPNNPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;231;1;2;;;;PN      N1;ALPARGATAS S.A.               ;9999-12-31;FUNGIBLE;343551533;NIVEL 1
2022-06-21;ALPK3;ALPK;ALPK;CASH;EQUITY-CASH;SHARES;;;2021-09-10;9999-12-31;;;;;BRALPKACNOR9;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;101;1;2;;;;ON      NM;ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A;9999-12-31;FUNGIBLE;214426523;NOVO MERCADO
2022-06-21;ALSO3;ALSO;ALSO;CASH;EQUITY-CASH;SHARES;;;2022-05-03;9999-12-31;;;;;BRALSOACNOR5;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;102;1;2;;;;ON      NM;ALIANSCE SONAE SHOPPING CENTERS S.A.;9999-12-31;FUNGIBLE;265772778;NOVO MERCADO
2022-06-21;ALUP3;ALUP;ALUP;CASH;EQUITY-CASH;SHARES;;;2022-04-12;9999-12-31;;;;;BRALUPACNOR8;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;113;1;2;;;;ON      N2;ALUPAR INVESTIMENTO S/A       ;9999-12-31;FUNGIBLE;596955970;NIVEL 2
2022-06-21;ALUP4;ALUP;ALUP;CASH;EQUITY-CASH;SHARES;;;2022-04-12;9999-12-31;;;;;BRALUPACNPR5;EPNNPR;;;;;;1;BRL;;;;;;;;;;;;;;;;;113;1;2;;;;PN      N2;ALUPAR INVESTIMENTO S/A       ;9999-12-31;FUNGIBLE;282155299;NIVEL 2
2022-06-21;AMAR3;AMAR;AMAR;CASH;EQUITY-CASH;SHARES;;;2021-12-13;9999-12-31;;;;;BRAMARACNOR4;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;113;1;2;;;;ON      NM;MARISA LOJAS S.A.             ;9999-12-31;FUNGIBLE;342835570;NOVO MERCADO
2022-06-21;AMBP3;AMBP;AMBP;CASH;EQUITY-CASH;SHARES;;;2022-05-05;9999-12-31;;;;;BRAMBPACNOR6;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;102;1;2;;;;ON      NM;AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A;9999-12-31;FUNGIBLE;112935588;NOVO MERCADO
2022-06-21;AMER3;AMER;AMER;CASH;EQUITY-CASH;SHARES;;;2022-02-01;9999-12-31;;;;;BRAMERACNOR6;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;101;1;2;;;;ON      NM;AMERICANAS S.A                ;9999-12-31;FUNGIBLE;907116900;NOVO MERCADO
2022-06-21;AMZG3;AMZG;AMZG;CASH;EQUITY-CASH;SHARES;;;9999-12-31;9999-12-31;;;;;BRAMZGACNOR4;ESVUFR;;;;;;1;BRL;;;;;;;;;;;;;;;;;100;1;2;;;;ON;AMAZONAS DISTRIBUIDORA DE ENERGIA S.A.;9999-12-31;FUNGIBLE;6276666628;
